Course Type,Course Title,Course Subtitle,Course Location,Subject,Beginning,Tuition fees per semester,Language,Duration,Course Link
Master's degree •,Master of Science in Nuclear Applications (MNA),FH Aachen University of Applied Sciences •,Jülich,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3810/
Master's degree •,Master of Science in Optoelectronics & Photonics,Paderborn University •,Paderborn,"Physics, Astronomy","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4525/
Master's degree •,Master of Science in Photonics,Friedrich Schiller University Jena •,Jena,"Physics, Astronomy",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3880/
Master's degree •,Master of Science in Photonics,Hochschule München University of Applied Sciences •,München,"Physics, Astronomy","Winter semester, Summer semester",none,English,"3 semesters, 6 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7861/
Master's degree •,Master of Science in Polymer Materials Science,Martin Luther University Halle-Wittenberg •,Halle (Saale),"Mathematics, Natural Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3605/
Master's degree •,Master of Science in Polymer Technology,Aalen University •,Aalen,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",varied,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3701/
Master's degree •,Master of Science in Power Engineering (MSC-PE),Technical University of Munich •,München,Engineering in general,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8446/
Master's degree •,Master of Science in Process Engineering,Hamburg University of Applied Sciences •,Hamburg,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6243/
Master's degree •,Master of Science in Process Engineering (MPE),Offenburg University of Applied Sciences •,Offenburg,Engineering in general,Winter semester,varied,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4030/
Master's degree •,Master of Science in Quantum Engineering,Ulm University •,Ulm,"Physics, Astronomy","Winter semester, Summer semester",varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8349/
Master's degree •,"Master of Science in Rail, Transport and Logistics",Technical University of Munich •,Singapore,"Transport Engineering, Nautical Science",Winter semester,,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3828/
Master's degree •,Master of Science in Scientific Instrumentation,University of Applied Sciences Jena •,Jena,"Physics, Astronomy",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3796/
Master's degree •,Master of Science in Smart Systems (SMA),Furtwangen University •,Furtwangen im Schwarzwald,Electrical Engineering,Winter semester,"EUR 1,500",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4301/
Master's degree •,Master of Science in Supply Chain Management (SCM),Constructor University •,Bremen,Business and Economics,Winter semester,"EUR 10,000",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4240/
Master's degree •,Master of Science in Transnational Ecosystem-Based Water Management (TWM),University of Duisburg-Essen •,Essen,Earth Sciences (excluding Geography),"Winter semester, Summer semester","EUR 1,105",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3825/
Master's degree •,Master of Science in Water Science,University of Duisburg-Essen •,Essen,Chemistry,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3897/
Master's degree •,Master of Science in Wood Technology,Rosenheim Technical University of Applied Sciences •,Rosenheim,"Forestry, Wood Economics",Winter semester,none,English,"3 semesters, 6 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5281/
Master's degree •,Master of Software Engineering for Embedded Systems (DISC),RPTU University of Kaiserslautern-Landau •,Kaiserslautern,Computer Science,Winter semester,"EUR 2,450",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3841/
Master's degree •,Master of Space Engineering (MSE),Technische Universität Berlin •,Berlin,Engineering in general,Summer semester,"EUR 6,248",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5510/
Master's degree •,Master of Sustainable Mining and Remediation Management (MoRe),TU Bergakademie Freiberg •,Freiberg,"Mining, Metallurgy","Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4446/
Master's degree •,Master of Urban Management,Technische Universität Berlin •,Berlin,Town and Country Planning,Winter semester,"EUR 3,667",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3798/
